1,ぺー,ぺー,ぺー,,,2017-07-17 17:55:08,2017-07-17 17:55:08
2,ぺっつぁん,おなかすいた,なんか食べたい,,,2017-07-17 17:55:53,2017-07-17 17:55:53
3,あき,どこまで,医者たって,,,2017-07-17 19:54:47,2017-07-17 19:54:47
4,よこはま,つるべ,ディアドクター,,,2017-07-17 19:57:01,2017-07-17 19:57:01
7,aaa,adfa,afad,,,2017-07-17 21:51:58,2017-07-17 21:51:58
8,あかさ,かやな,なわか,,,2017-07-17 21:59:11,2017-07-17 21:59:11
9,hskensington,糖質制限ダイエットに取り組むようになってから、ローソンで売っているブランパンなど、糖質を抑えたパンのシリーズを好んで買うようになったのですが、すぐに売り切れてしまいます。徒歩圏内にローソンはないのでわざわざ車であちこちの店舗を回ったりしてとても不便に思っています。ブランパンの製造元はヤマザキ製パンなのに、ローソン独占販売になっており、またコンビニゆえに置いてあるパンの数も少ないです。,ヤマザキ製パンがローソンと契約しているのであれば、他のメーカーが量販店や他のコンビニと契約して低糖質のパンをもっと販売すればよいのではないでしょうか。,,,2017-07-17 22:46:30,2017-07-17 22:46:30
10,紺紺,野菜不足,地産地消の徹底、アイデアレシピの充実。,,,2017-07-18 08:55:27,2017-07-18 08:55:27
11,kili054,水素水のような、明らかに科学的に有り得ない情報を信じて商品を買わない工夫が必要だと思っています。,まず、自分が間違った情報を鵜呑みにしないよう、ちゃんと調べる習慣を身に付ける事。又、そういう情報をすぐに収集して「それは間違った情報」と発信する機関が有ると良いと思います。,,,2017-07-18 13:10:02,2017-07-18 13:10:02
12,footsteps,トランス脂肪酸が健康に与える影響に関する情報や認知度が低いために、日本では摂取量などが何も制限されていないこと。,諸外国のように、トランス脂肪酸について国民が認識できるようにし輸入の際に制限を設けるなどの対策を講じる。,,,2017-07-18 19:45:54,2017-07-18 19:45:54
13,megumru,若い人が意見を言いづらく、活気がないこと,社内LANを使って匿名でも意見を言いやすくする,,,2017-07-19 12:04:09,2017-07-19 12:04:09
14,masia0904,フリーアドレス制を採用しているが、部署単位でのおおよその位置が設定されており、本来の目的である他部門との情報交換ができない。,本来の目的にてらしあわせて、完全自由なフリーアドレスを実行すべきと考える。,,,2017-07-19 12:05:17,2017-07-19 12:05:17
15,明野,人数が少ないからと言って風通しが良いわけでは無い　上司が現場におらず自宅勤務なので、質問しづらいのと、どんどん無理難題な仕事をふっかけるようになってくる。,"トイレ掃除など面倒なことをお互い押し付けがちなので、「生活に必要な場所」としてひとりひとりゆとりを持って気遣いができたらなと思う。
上司も現場で勤務してもらうよう提案してみる。また、新人が質問しやすい雰囲気・環境づくりが大切。",,,2017-07-19 12:07:50,2017-07-19 12:07:50
16,ぷりきち,人間関係を悪くさせないための一案,「禁煙にする」喫煙者が一日６回たばこを吸うとして、一回あたり５分必要だとすると、30分も仕事をさぼっていることになる。たばこを吸わない人にしてみれば、「なぜ彼と給料が同じなのか」という気分になるし、実際に不満に思っている人の声も多く聞いた。また、同じ仕事場でたばこを吸われると、副流煙で、吸っていない人にまで害がある。,,,2017-07-19 12:10:19,2017-07-19 12:10:19
17,hanagatamitsuru9,高齢化,"早期退職を勧める
",,,2017-07-19 12:11:58,2017-07-19 12:11:58
18,Miya.miya,年功序列が鮮明。お局に誰も意見出来ない。,定期的な部署異動が必要。環境が変われば新しい事を学ぶので、態度が軟化するのではないかと考える。,,,2017-07-19 12:16:58,2017-07-19 12:16:58
19,Youkitoto1984041,職場のスペースが狭い。,収納しやすいように区切りを細かく作った,,,2017-07-19 12:19:00,2017-07-19 12:19:00
20,koti,サービス残業が多い,いい顔しないで割り切って定時に帰る,,,2017-07-19 12:20:36,2017-07-19 12:20:36
21,msue1,忙しすぎて余裕がない,人を入れる,,,2017-07-19 12:20:51,2017-07-19 12:20:51
22,エンジョイライフ,気遣い、あいさつ,"あいさつははっきりと元気よくする。
職場での仲間のでの助け合い、気遣いをする。",,,2017-07-19 12:23:58,2017-07-19 12:23:58
23,エンジョイライフ,明るいあいさつ、気遣い,あいさつははっきりと元気よくする。職場の仲間を大切に思い助け合い気遣いをする。,,,2017-07-19 12:27:15,2017-07-19 12:27:15
24,佐藤一樹,自分勝手な方が多いことです。,その人にメリットのあることを提案することです。,,,2017-07-19 12:34:27,2017-07-19 12:34:27
25,sacosuzu ,仕事の個人差が大きい,仕事の均等化を図るために、自分以外の社員の良いところ、改善点などを貼り出しして行く。時間がとれるなら勉強会を実施して仕事の質が低い社員のボトムアップをはかる,,,2017-07-19 12:36:21,2017-07-19 12:36:21
26,blue11,資料を印刷しても、ちょっと目を通してすぐに捨ててしまう。,使用済の紙の裏面を利用して印刷する。,,,2017-07-19 12:39:19,2017-07-19 12:39:19
27,good.mana91127,やる気と人間関係だと思います。,"よりよいコミュニケーションを作る為に
従業員皆で時には食事に行って飲んだり
しながら本音を語り合う事も大事かなと
思います。",,,2017-07-19 12:39:34,2017-07-19 12:39:34
28,cloudmoon,精神疾患と思われる方がおり、周りがその人に対し理解がなく悪口などを言い嫌な雰囲気になっていて気持ちよく仕事が出来ない。,メンタルに対しての理解を広めるために、仕事場の人で集まって話し合いをする。,,,2017-07-19 12:47:30,2017-07-19 12:47:30
29,seamans5550,年配の人のモチベーションが低く、新しいことは若い世代の仕事と考えに差があること。,"分からない人には分かるように細かく説明してあげることが大事。
やってくれないとほったらかしにするのも何もやってないのと同じなので、同じ目線にたって教えるようにする。",,,2017-07-19 12:54:57,2017-07-19 12:54:57
30,freesia1989,不動産で働いているのですが、よく物件資料を記載した台帳がなくなります。数日前に作ったばかりのものでも何故か無くなってしまいます。,台帳を持ち出したら、就業前には元あった場所に片付けたり、従業員一人一人の机の上を綺麗に整理し、持ち出してもすぐに見つかる環境にする。,,,2017-07-19 12:56:06,2017-07-19 12:56:06
31,bichama19690606,仕事（責任）のなすり付けあい,シフト管理を簡明にし、更に情報の共有を行えば課題は減るのではないかと思います。,,,2017-07-19 12:56:34,2017-07-19 12:56:34
32,hayato.superdx,個人のスペースが狭い事。個人のスペースは、机と机の下に入るキャスター1つ。パソコンのキーボードがある為、A4の見開き資料が置くのがやっとです。また、キャスター1つなので、収納が足りなくて困っています。,机の形を今の長方形からLの字型の机に変えて、机の上の作業スペースを広げます。また、机の下の収納スペースも広げられるので、収納も増やせます。,,,2017-07-19 12:58:33,2017-07-19 12:58:33
33,asm.0215,大人数で業務をしており新入社員も大量に入ってきたときに話しづらいや居心地があまりよくない。,"年に１回会社全体でパーティをしてみんな仲良くなる。
休憩室もみんなが話しやすいように配置されている。",,,2017-07-19 13:22:33,2017-07-19 13:22:33
34,kazunori81234131,人によっての対応の違い。,社内規定を作り、目立つ場所に貼り、尚且つ回覧を回してサインするようにする。,,,2017-07-19 13:25:56,2017-07-19 13:25:56
35,dsk106,社員同士のコミュニケーション不足,社員同士のメールのやり取りを禁止すること。すぐ近くに座っている人に対して、メールで仕事の質問をしたり、会議の予定を伝えたりしているが、実際に顔を見ながら話しをすべきです。話すことをきっかけに、雑談などで職場の空気も変わってくると思います。,,,2017-07-19 13:32:10,2017-07-19 13:32:10
36,boyo,営業で直行や直帰が多く、メンバー全員がそろう事が少ない。,毎週決めた曜日に全体会議を開いて、メンバー同士の意思疎通を図ると良いと思います。,,,2017-07-19 13:45:51,2017-07-19 13:45:51
37,ushiichang,"内勤の人が多く、1日中座って作業しているので、肩こり・腰痛・眼精疲労に悩んでいる社員が多い。
特に忙しい時期は残業が増え、疲労をため込み、体調不良を訴える人も。",社員のための休憩室を設け、マッサージ機を設置したりハーブティーなどのお茶を飲めたりと、疲労回復ができるようにする。,,,2017-07-19 13:46:54,2017-07-19 13:46:54
38,cv480,社員１人１人がバラバラで一致団結できない事です。,信頼できるリーダーとサブリーダーを決めて、少しづつ時間をかけてまとめていくしかないと思います。,,,2017-07-19 13:53:07,2017-07-19 13:53:07
39,cv480,社員１人１人がバラバラで一致団結できない事です。,社員を平等に考え信頼できるリーダーとサブリーダーを決めて、少しづつまとめていくしかないと思います。,,,2017-07-19 13:56:32,2017-07-19 13:56:32
40,ルアーズ,"残業が多すぎると思います。定時で帰れる事などほとんどありません。
ましてや同僚や上司が残っているのに自分だけが帰宅するという事も出来ません。
そのような環境が問題です。","皆残っているから帰りずらいわけで、会社の方針で定時になったら皆帰ると決めてしまえば良いと思います。
仕事が終わらないという人もいるかもしれませんが、皆で分担して行えば終わるはずです。",,,2017-07-19 13:57:51,2017-07-19 13:57:51
41,ayuminchoru,"若い職員が自分の意見を言えない。
上の職員は発言に対し否定ばかりである。",若い社員だけでなく、上の職員も外部のリーダー研修などを受ける機会があったらいいと思う。,,,2017-07-19 14:28:44,2017-07-19 14:28:44
42,yamato_cw,中堅・ベテラン社員と新人・若手社員との関係に隔たりを感じる。,休憩所や喫煙所などコミニュケーションの場を設けて意識的に交流する。,,,2017-07-19 14:56:30,2017-07-19 14:56:30
43,リトルキングダム,部下とのコミュニケーション。外出が多くてタイムリーにホウレンソウを聞くことができない。,ラインなどのSNSを使って気軽に報告できる環境を作った。,,,2017-07-19 15:34:30,2017-07-19 15:34:30
44,シャイなつぐさん,職場の雰囲気が暗い。一部の人間が牛耳っているのが影響のため、他の人が怯えるようになってしまい、朝から暗いのでモチベーションが上がらない。,自分一人でやっているのですが、表情と態度で明るくするようにしています。牛耳っている人たちを振り向かすのではなく、そんな人は放っておいて独自の仕事に対する取り組みを行なっていき、他人に対し、明るく接する、アイデアのある返答をするなどを実行します。徐々にですが、他の人がなびいてきます。「あの人は明るい、面白い」と思ってくれることで、徐々にですが暗い表情が明るくなり、仕事上のトラブルも減っています。,,,2017-07-19 15:36:41,2017-07-19 15:36:41
45,encuentro1016,何十年も新入社員を採らず、平均年齢が50歳。職場の風通しが非常に悪く、体質が古い。新しいアイデアもなければ、これまでの事例を頼りに業務を進めている。そのため、今後発展する見込みがうすい。,毎年、計画的に新入社員を採用したり、転職者を採ったりすることで、会社に新しい考え方を取り込むべきだ。また、定期的に若年層によるプレゼンテーションや業務改善の提案などを通して、実現性の可否に関わらず、社員全体の意識改革を図るべきだ。,,,2017-07-19 17:15:34,2017-07-19 17:15:34
48,hanagatamitsuru9,個人プレーが多くまとまりが無い。営業マンだから個人の成績も大事ですがみんなで目標に向かって協力しあうことも大事です。,みんなで会社を盛り上げるためには協力しあうことが必須です。誰か指揮を取る人がカリスマ性があって他のみんなも付いていこうと思える人が必要です。,,,2017-07-21 08:54:46,2017-07-21 08:54:46
